iterations       power from maximum power to 0            a            b            c            x        error         time
0.000000         1.000000                              -1.000000          NaN          NaN     1.000000     1.000000     0.000000
0.000000         0.000000                               0.000000          NaN          NaN     1.000000     1.000000     0.000000
1.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014781
1.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014787
2.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014799
2.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014803
3.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014811
3.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014816
4.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014824
4.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014828
5.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014837
5.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014842
6.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014850
6.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014854
7.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014862
7.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014867
8.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014877
8.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014881
9.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014889
9.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014894
10.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014903
10.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014907
11.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014917
11.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014921
12.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014929
12.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014934
13.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014943
13.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014948
14.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014957
14.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014961
15.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014970
15.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014974
16.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014983
16.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.014988
17.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.014998
17.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015002
18.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015012
18.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015017
19.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015026
19.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015030
20.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015040
20.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015044
21.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015054
21.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015059
22.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015069
22.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015073
23.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015084
23.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015088
24.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015099
24.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015103
25.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015112
25.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015116
26.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015126
26.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015130
27.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015140
27.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015145
28.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015155
28.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015159
29.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015169
29.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015174
30.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015184
30.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015188
31.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015198
31.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015203
32.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015213
32.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015217
33.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015227
33.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015231
34.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015240
34.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015245
35.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015255
35.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015259
36.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015269
36.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015273
37.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015282
37.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015286
38.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015296
38.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015300
39.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015311
39.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015316
40.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015324
40.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015329
41.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015339
41.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015344
42.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015354
42.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015358
43.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015368
43.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015372
44.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015381
44.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015386
45.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015395
45.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015399
46.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015408
46.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015412
47.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015421
47.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015425
48.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015435
48.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015440
49.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015448
49.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015452
50.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015461
50.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015465
51.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015474
51.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015479
52.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015487
52.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015492
53.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015501
53.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015504
54.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015514
54.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015517
55.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015526
55.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015531
56.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015540
56.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015544
57.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015552
57.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015557
58.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015566
58.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015570
59.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015579
59.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015583
60.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015592
60.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015596
61.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015606
61.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015610
62.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015620
62.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015624
63.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015633
63.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015637
64.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015648
64.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015652
65.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015661
65.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015665
66.000000         1.000000                              -1.000000          NaN          NaN          NaN          NaN     0.015674
66.000000         0.000000                               0.000000          NaN          NaN          NaN          NaN     0.015678
