         i               a          mid            b          error         time
         1.000000     0.000000     1.500000     3.000000   100.000000     0.000000
         2.000000     0.000000     0.750000     1.500000     0.750000     0.000420
         3.000000     0.750000     1.125000     1.500000     0.375000     0.000831
         4.000000     0.750000     0.937500     1.125000     0.187500     0.001235
         5.000000     0.937500     1.031250     1.125000     0.093750     0.001635
         6.000000     0.937500     0.984375     1.031250     0.046875     0.002035
         7.000000     0.984375     1.007813     1.031250     0.023438     0.002461
         8.000000     0.984375     0.996094     1.007813     0.011719     0.002875
         9.000000     0.996094     1.001953     1.007813     0.005859     0.003272
        10.000000     0.996094     0.999023     1.001953     0.002930     0.003670
