iterations              xl           xu           xr          f(xl)        f(xu)        f(xr)        error               time
  1.000000             0.000000     3.000000     0.133333    -4.000000    86.000000    -3.599684   1.333333e-001       1.784988e-006
  2.000000             0.133333     3.000000     0.248502    -3.599684    86.000000    -3.250680   1.151689e-001       4.774844e-005
  3.000000             0.248502     3.000000     0.348717    -3.250680    86.000000    -2.939062   1.002148e-001       9.237315e-005
  4.000000             0.348717     3.000000     0.436331    -2.939062    86.000000    -2.654762   8.761374e-002       1.151317e-004
  5.000000             0.436331     3.000000     0.513100    -2.654762    86.000000    -2.391389   7.676892e-002       1.271804e-004
  6.000000             0.513100     3.000000     0.580382    -2.391389    86.000000    -2.145392   6.728197e-002       1.387828e-004
  7.000000             0.580382     3.000000     0.639273    -2.145392    86.000000    -1.915169   5.889168e-002       1.517240e-004
  8.000000             0.639273     3.000000     0.690700    -1.915169    86.000000    -1.700307   5.142673e-002       1.637727e-004
  9.000000             0.690700     3.000000     0.735472    -1.700307    86.000000    -1.500990   4.477202e-002       1.753751e-004
 10.000000             0.735472     3.000000     0.774318    -1.500990    86.000000    -1.317565   3.884567e-002       1.874238e-004
